"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","TRY","PC_25_64","A","2008",36.149986,
"AUS","EDUADULT","TRY","PC_25_64","A","2009",36.881355,
"AUS","EDUADULT","TRY","PC_25_64","A","2010",37.604309,
"AUS","EDUADULT","TRY","PC_25_64","A","2011",38.342072,
"AUS","EDUADULT","TRY","PC_25_64","A","2012",41.282364,
"AUS","EDUADULT","TRY","PC_25_64","A","2013",39.539928,
"AUS","EDUADULT","TRY","PC_25_64","A","2014",41.901855,
"AUS","EDUADULT","TRY","PC_25_64","A","2015",42.888756,
"AUS","EDUADULT","TRY","PC_25_64","A","2016",43.7439,
"AUS","EDUADULT","TRY","PC_25_64","A","2017",45.355675,
"AUS","EDUADULT","TRY","PC_25_64","A","2018",45.727478,
"AUS","EDUADULT","TRY","PC_25_64","A","2019",47.129978,
"AUS","EDUADULT","TRY","PC_25_64","A","2020",49.337452,
"AUS","EDUADULT","TRY","PC_25_64","A","2021",49.767868,
"AUT","EDUADULT","TRY","PC_25_64","A","2008",26.191858,
"AUT","EDUADULT","TRY","PC_25_64","A","2009",26.895824,
"AUT","EDUADULT","TRY","PC_25_64","A","2010",27.743721,
"AUT","EDUADULT","TRY","PC_25_64","A","2011",27.956152,
"AUT","EDUADULT","TRY","PC_25_64","A","2012",28.739943,
"AUT","EDUADULT","TRY","PC_25_64","A","2013",29.738844,
"AUT","EDUADULT","TRY","PC_25_64","A","2014",29.904896,
"AUT","EDUADULT","TRY","PC_25_64","A","2015",30.550726,
"AUT","EDUADULT","TRY","PC_25_64","A","2016",31.383963,
"AUT","EDUADULT","TRY","PC_25_64","A","2017",32.39439,
"AUT","EDUADULT","TRY","PC_25_64","A","2018",32.711426,
"AUT","EDUADULT","TRY","PC_25_64","A","2019",33.773777,
"AUT","EDUADULT","TRY","PC_25_64","A","2020",34.205894,
"AUT","EDUADULT","TRY","PC_25_64","A","2021",34.604504,
"BEL","EDUADULT","TRY","PC_25_64","A","2008",32.310043,
"BEL","EDUADULT","TRY","PC_25_64","A","2009",33.397053,
"BEL","EDUADULT","TRY","PC_25_64","A","2010",34.989502,
"BEL","EDUADULT","TRY","PC_25_64","A","2011",34.612984,
"BEL","EDUADULT","TRY","PC_25_64","A","2012",35.316551,
"BEL","EDUADULT","TRY","PC_25_64","A","2013",35.535332,
"BEL","EDUADULT","TRY","PC_25_64","A","2014",36.855022,
"BEL","EDUADULT","TRY","PC_25_64","A","2015",36.857422,
"BEL","EDUADULT","TRY","PC_25_64","A","2016",37.503956,
"BEL","EDUADULT","TRY","PC_25_64","A","2017",40.257053,
"BEL","EDUADULT","TRY","PC_25_64","A","2018",40.638546,
"BEL","EDUADULT","TRY","PC_25_64","A","2019",40.67009,
"BEL","EDUADULT","TRY","PC_25_64","A","2020",42.442284,
"BEL","EDUADULT","TRY","PC_25_64","A","2021",44.873066,
"CAN","EDUADULT","TRY","PC_25_64","A","2008",48.706802,
"CAN","EDUADULT","TRY","PC_25_64","A","2009",49.290722,
"CAN","EDUADULT","TRY","PC_25_64","A","2010",50.311695,
"CAN","EDUADULT","TRY","PC_25_64","A","2011",51.033012,
"CAN","EDUADULT","TRY","PC_25_64","A","2012",52.305416,
"CAN","EDUADULT","TRY","PC_25_64","A","2013",52.971439,
"CAN","EDUADULT","TRY","PC_25_64","A","2014",53.61496,
"CAN","EDUADULT","TRY","PC_25_64","A","2015",55.17366,
"CAN","EDUADULT","TRY","PC_25_64","A","2016",56.265068,
"CAN","EDUADULT","TRY","PC_25_64","A","2017",56.71452,
"CAN","EDUADULT","TRY","PC_25_64","A","2018",57.888363,
"CAN","EDUADULT","TRY","PC_25_64","A","2019",59.374844,
"CAN","EDUADULT","TRY","PC_25_64","A","2020",59.961113,
"CAN","EDUADULT","TRY","PC_25_64","A","2021",61.985279,
"CZE","EDUADULT","TRY","PC_25_64","A","2008",14.498895,
"CZE","EDUADULT","TRY","PC_25_64","A","2009",15.544437,
"CZE","EDUADULT","TRY","PC_25_64","A","2010",16.764982,
"CZE","EDUADULT","TRY","PC_25_64","A","2011",18.243177,
"CZE","EDUADULT","TRY","PC_25_64","A","2012",19.277992,
"CZE","EDUADULT","TRY","PC_25_64","A","2013",20.45986,
"CZE","EDUADULT","TRY","PC_25_64","A","2014",21.51013,
"CZE","EDUADULT","TRY","PC_25_64","A","2015",22.186741,
"CZE","EDUADULT","TRY","PC_25_64","A","2016",22.971544,
"CZE","EDUADULT","TRY","PC_25_64","A","2017",23.927534,
"CZE","EDUADULT","TRY","PC_25_64","A","2018",24.262077,
"CZE","EDUADULT","TRY","PC_25_64","A","2019",24.212393,
"CZE","EDUADULT","TRY","PC_25_64","A","2020",24.853664,
"CZE","EDUADULT","TRY","PC_25_64","A","2021",26.537458,
"DNK","EDUADULT","TRY","PC_25_64","A","2008",31.126369,
"DNK","EDUADULT","TRY","PC_25_64","A","2009",32.001427,
"DNK","EDUADULT","TRY","PC_25_64","A","2010",33.002644,
"DNK","EDUADULT","TRY","PC_25_64","A","2011",33.662952,
"DNK","EDUADULT","TRY","PC_25_64","A","2012",34.639698,
"DNK","EDUADULT","TRY","PC_25_64","A","2013",35.204632,
"DNK","EDUADULT","TRY","PC_25_64","A","2014",35.667145,
"DNK","EDUADULT","TRY","PC_25_64","A","2015",36.565422,
"DNK","EDUADULT","TRY","PC_25_64","A","2016",37.766045,
"DNK","EDUADULT","TRY","PC_25_64","A","2017",38.889214,
"DNK","EDUADULT","TRY","PC_25_64","A","2018",39.44791,
"DNK","EDUADULT","TRY","PC_25_64","A","2019",40.353836,
"DNK","EDUADULT","TRY","PC_25_64","A","2020",39.326214,
"DNK","EDUADULT","TRY","PC_25_64","A","2021",41.881645,
"FIN","EDUADULT","TRY","PC_25_64","A","2008",36.583557,
"FIN","EDUADULT","TRY","PC_25_64","A","2009",37.268574,
"FIN","EDUADULT","TRY","PC_25_64","A","2010",38.146343,
"FIN","EDUADULT","TRY","PC_25_64","A","2011",39.318207,
"FIN","EDUADULT","TRY","PC_25_64","A","2012",39.661289,
"FIN","EDUADULT","TRY","PC_25_64","A","2013",40.545231,
"FIN","EDUADULT","TRY","PC_25_64","A","2014",41.776676,
"FIN","EDUADULT","TRY","PC_25_64","A","2015",42.742619,
"FIN","EDUADULT","TRY","PC_25_64","A","2016",43.595264,
"FIN","EDUADULT","TRY","PC_25_64","A","2017",44.304253,
"FIN","EDUADULT","TRY","PC_25_64","A","2018",45.188133,
"FIN","EDUADULT","TRY","PC_25_64","A","2019",45.93438,
"FIN","EDUADULT","TRY","PC_25_64","A","2020",47.874241,
"FIN","EDUADULT","TRY","PC_25_64","A","2021",42.33107,
"FRA","EDUADULT","TRY","PC_25_64","A","2008",27.233906,
"FRA","EDUADULT","TRY","PC_25_64","A","2009",28.588057,
"FRA","EDUADULT","TRY","PC_25_64","A","2010",29.006897,
"FRA","EDUADULT","TRY","PC_25_64","A","2011",29.767,
"FRA","EDUADULT","TRY","PC_25_64","A","2012",30.856123,
"FRA","EDUADULT","TRY","PC_25_64","A","2013",32.105263,
"FRA","EDUADULT","TRY","PC_25_64","A","2014",33.539047,
"FRA","EDUADULT","TRY","PC_25_64","A","2015",34.085361,
"FRA","EDUADULT","TRY","PC_25_64","A","2016",34.582485,
"FRA","EDUADULT","TRY","PC_25_64","A","2017",35.213791,
"FRA","EDUADULT","TRY","PC_25_64","A","2018",36.897491,
"FRA","EDUADULT","TRY","PC_25_64","A","2019",37.904724,
"FRA","EDUADULT","TRY","PC_25_64","A","2020",39.717316,
"FRA","EDUADULT","TRY","PC_25_64","A","2021",40.703068,
"DEU","EDUADULT","TRY","PC_25_64","A","2008",25.400061,
"DEU","EDUADULT","TRY","PC_25_64","A","2009",26.385326,
"DEU","EDUADULT","TRY","PC_25_64","A","2010",26.609148,
"DEU","EDUADULT","TRY","PC_25_64","A","2011",27.562323,
"DEU","EDUADULT","TRY","PC_25_64","A","2012",28.121572,
"DEU","EDUADULT","TRY","PC_25_64","A","2013",28.47327,
"DEU","EDUADULT","TRY","PC_25_64","A","2014",27.057884,
"DEU","EDUADULT","TRY","PC_25_64","A","2015",27.638235,
"DEU","EDUADULT","TRY","PC_25_64","A","2016",28.291723,
"DEU","EDUADULT","TRY","PC_25_64","A","2017",28.58337,
"DEU","EDUADULT","TRY","PC_25_64","A","2018",29.065134,
"DEU","EDUADULT","TRY","PC_25_64","A","2019",29.900126,
